,no ethics,ethics 0.5,ethics 1,ethics 2,ethics normal 0.5,ethics normal 1,ethics normal 2,scores no ethics,scores ethics 0.5,scores ethics 1,scores ethics 2,scores ethics normal 0.5,scores ethics normal 1,scores ethics normal 2,mean,mean score
1267,0.000739522085767,0.00092926513974,0.00150043919315,0.00327964787907,0.000981318466002,0.000871226483253,0.00151390482597,28.5803699722,59.1228877253,61.5149996392,63.4211216498,57.4781015531,59.2472844835,61.6508996706,0.00203696009526,27.1814415931
1268,0.00258766117084,-0.00122535324038,-0.00186689030337,-0.00269915624059,-0.000304780711555,-0.00127696919976,-0.00193882712636,29.8928096089,59.8686152612,62.0617001373,63.2910645807,57.8472637719,60.0805838945,62.1728109216,0.000240044426309,27.1814415931
1269,0.00234344724717,0.00685560511792,0.00803031344978,0.00917316127311,0.00447074654847,0.00736179541937,0.0083536445533,27.9530917,59.7483569372,61.9926778273,63.2933926309,58.2596899113,60.2858237797,62.3028635184,0.012911185976,27.1814415931
1270,-0.00674352092846,-0.00910995502816,-0.00907790979276,-0.00853673709473,-0.00895657926467,-0.00910814231348,-0.00902742183917,28.6225826201,59.3679001069,60.8618997351,62.6962674819,58.5669262105,59.5664482373,61.0434740785,-0.018726655587,27.1814415931
1271,-0.00261582389494,0.00367186580599,0.00449258838199,0.00424488960573,0.00355827404839,0.0043611231182,0.0042989285453,35.8504941318,59.0622784594,61.1476566218,62.9045466298,58.814584243,60.8204234612,62.7802812732,-0.00351460424277,27.1814415931
1272,-0.00781823143299,-0.00663404951438,-0.00983864258178,-0.0124905452523,-0.00471140558888,-0.00767756133835,-0.0109332336226,31.0022189429,58.1282893679,60.9731329886,62.8779486806,56.4297558242,59.051304423,61.7239824907,-0.0304637819325,27.1814415931
1273,0.00164207496515,0.00276014633824,0.00154241324532,0.00156463772656,0.00273203200487,0.002247303936,0.0016320811671,19.5225180269,57.3949610551,60.0826147065,62.2406538329,56.6540407653,58.9398512211,61.2717231512,-0.00416580233566,27.1814415931
1274,0.00315999491066,-0.00172825196766,-0.00260680629676,-0.00220635876194,-0.00114296188829,-0.00252003748928,-0.00249952596816,17.0442015775,58.485023587,60.3859034313,62.3662395852,57.2090540886,59.6650159781,61.6843696822,0.0113536306731,27.1814415931
1275,0.00438069024096,0.0154037984143,0.016735174781,0.0164296350024,0.0134092201831,0.016879994631,0.0163627927551,35.7596469581,58.8584917163,60.9256870972,62.4673509182,57.7679947011,60.6660902202,61.9823075375,0.0244838800605,27.1814415931
1276,0.000301732858445,0.00121556197665,0.00196471655638,0.00161378142832,0.00106910508088,0.00191303637522,0.00186527362371,47.0008847664,56.4162929678,59.1177192519,61.3567623125,56.0870696027,58.7561164938,60.9156692684,-0.00308192500798,27.1814415931
1277,0.000930746254058,0.0047460272662,0.00623106165379,0.00910174368075,0.00428927768726,0.00598931101373,0.00832914811458,22.1257434514,56.7271247277,58.8594955579,61.8044814224,56.3216709956,58.3796615946,61.0414766104,0.00861599617943,27.1814415931
1278,-0.00033051408365,-0.000531325988304,-0.00097898947148,-0.00210914617785,-0.000507430269046,-0.000908714919593,-0.00190221115452,26.3059986381,57.1767477901,58.7234544023,61.0720114646,57.0577482905,58.4862418798,60.7597455276,-0.0173141676273,27.1814415931
1279,0.0001882627776,0.000915508828815,0.00183559848829,0.00366844970119,0.000753430817482,0.00150389050564,0.00301135975074,23.4902557617,58.2621386626,59.0198558978,60.4599398162,58.1921719148,58.7578600473,59.9629848069,0.0123900795449,27.1814415931
1280,-0.00023695200619,-0.000167448972139,-0.000311944908868,-0.000623080573432,-0.000214842200086,-0.000247586687277,-0.00049413619771,23.6389678734,58.2679699696,58.9434491572,60.2732971016,58.0102527223,58.6905508021,59.7700148517,-0.0113328453281,27.1814415931
1281,0.000160607806163,0.00145316893467,0.00287793986605,0.00578677545134,0.00118868053062,0.00219706334375,0.00439004289097,23.4656749551,58.2412538784,58.9637107226,60.3860522997,57.9532094163,58.6326902947,59.6751054504,0.00941356853042,27.1814415931
1282,0.000204153007944,0.000557665163046,0.00121288569233,0.00237425899525,0.000467551553766,0.000900578851377,0.001842020909,23.6487975812,58.0558722877,58.7420747158,59.979968956,58.029550192,58.466006865,59.4333556669,0.0117391900031,27.1814415931
1283,0.000107756039756,2.57696034057e-05,3.97286232798e-05,7.6911669227e-05,2.48258140248e-05,2.87916293732e-05,5.99456594121e-05,23.6170952517,58.1176754877,58.7551615398,59.9732358498,58.0162901283,58.4432622947,59.4442031656,0.00429319720923,27.1814415931
1284,0.000121829432905,-8.51084793263e-05,-0.000199408933198,-0.000452884152472,-3.83503128115e-05,-9.99804284441e-05,-0.000330255461318,23.5659989193,58.2985432162,58.9915479594,60.4976596016,57.9274238342,58.5992340302,59.728917216,0.0134001340763,27.1814415931
1285,-0.000102713889834,-0.000435554609784,-0.000877632389253,-0.00174608196793,-0.000367984081096,-0.000657538796283,-0.00131456642922,23.5779639028,58.2989309622,59.0273796849,60.4831618471,57.9236164374,58.6807649877,59.7761314467,-0.00166626648691,27.1814415931
1286,-0.000577393494367,-0.00116918517393,-0.00224824452887,-0.00445763694963,-0.00085304324256,-0.00164069323502,-0.00325402821366,23.5802621825,58.213972525,58.9405350154,60.3725857239,58.05477548,58.5993701989,59.6472551989,-0.0260534053652,27.1814415931
1287,8.70283080692e-05,0.000275517378164,0.000548409563561,0.00107594817412,0.000500806104899,0.000972830593906,0.00194289153596,23.4162865062,58.2513823557,58.8690146708,60.2096972656,58.7495648281,59.9554045178,62.3062612336,0.00689322595112,27.1814415931
1288,-0.000256567641162,-0.000466341110881,-0.000917049678448,-0.0018202551619,-0.000845309952007,-0.00166938619507,-0.00329364222928,23.4126784077,58.3071519487,59.0151615426,60.4447577584,58.8885908384,60.1659491374,62.8166726236,-0.0186927276419,27.1814415931
1289,8.78605177779e-05,0.000204669484366,0.000247474318106,0.000471822605808,0.000227954092384,0.000464898245889,0.000907755846249,23.4492834425,58.1547067332,58.9936672968,60.3905834628,58.9465941055,60.2664548646,62.9837237124,0.00551584734165,27.1814415931
1290,0.000180577058763,0.00103567666803,0.00207974694663,0.00413868270533,0.00198259371701,0.00394077614911,0.00787218819185,23.4045112084,58.2951268482,58.9959804451,60.4040317403,58.9202025596,60.2638274862,62.9212320177,0.0106241137905,27.1814415931
